timestamp,local_time,sensor_2,sensor_4,bbox_x1,bbox_y1,bbox_x2,bbox_y2,mv_1,mv_2,mv_3,mv_4,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,mouth_left_x,mouth_left_y,mouth_right_x,mouth_right_y,fhp,prediction,notes,user_id,bad_posture_command,alarm_notification,notification_interval,feedback,Unnamed: 0,Notes
14872797,2024-08-13 14:05:00,,,,,,,,,,,,,,,,,,,,,106.0,,,2,no,yes,5.0,1.0,,
14872827,2024-08-13 14:05:00,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14872827,2024-08-13 14:05:00,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14873097,2024-08-13 14:05:00,,,,,,,616.0,630.0,648.0,614.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14873097,2024-08-13 14:05:00,,,,,,,616.0,630.0,648.0,614.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14873097,2024-08-13 14:05:00,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14873107,2024-08-13 14:05:00,627.0,728.0,,,,,713.0,730.0,731.0,738.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14873107,2024-08-13 14:05:00,627.0,728.0,,,,,713.0,730.0,731.0,738.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14873117,2024-08-13 14:05:00,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14873387,2024-08-13 14:05:00,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14873387,2024-08-13 14:05:00,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14873597,2024-08-13 14:05:00,,,,,,,672.0,630.0,648.0,614.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14873597,2024-08-13 14:05:00,,,,,,,672.0,630.0,648.0,614.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14873597,2024-08-13 14:05:00,,,,,,,672.0,630.0,648.0,614.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14873607,2024-08-13 14:05:00,641.0,734.0,,,,,736.0,730.0,731.0,738.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14873607,2024-08-13 14:05:00,641.0,734.0,,,,,736.0,730.0,731.0,738.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14873617,2024-08-13 14:05:00,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14874097,2024-08-13 14:05:00,,,,,,,672.0,672.0,648.0,614.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14874097,2024-08-13 14:05:00,,,,,,,672.0,672.0,648.0,614.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14874097,2024-08-13 14:05:00,,,,,,,672.0,672.0,648.0,614.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14874107,2024-08-13 14:05:00,652.0,734.0,,,,,736.0,731.0,731.0,738.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14874107,2024-08-13 14:05:00,652.0,734.0,,,,,736.0,731.0,731.0,738.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14874117,2024-08-13 14:05:00,,,,,,,,,,,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14874597,2024-08-13 14:05:00,,,,,,,672.0,672.0,626.0,614.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14874597,2024-08-13 14:05:00,,,,,,,672.0,672.0,626.0,614.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14874597,2024-08-13 14:05:00,,,,,,,672.0,672.0,626.0,614.0,,,,,,,,,,,,,,2,no,yes,5.0,1.0,,
14874607,2024-08-13 14:05:00,646.0,736.0,,,,,736.0,731.0,739.0,738.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
14874607,2024-08-13 14:05:00,646.0,736.0,,,,,736.0,731.0,739.0,738.0,,,,,,,,,,,,0.0,,2,no,yes,5.0,1.0,,
